device_id,timestamp,temperature,humidity,pressure,status,location
SENSOR-008,2024-01-01T00:00:00,20.82,50.61,1001.57,OK,building_b
SENSOR-005,2024-01-01T01:00:00,17.08,68.96,1021.61,OK,building_b
SENSOR-008,2024-01-01T02:00:00,21.31,40.19,982.09,OK,building_b
SENSOR-010,2024-01-01T03:00:00,28.34,55.3,998.82,OK,outdoor
SENSOR-005,2024-01-01T04:00:00,28.92,86.06,997.42,OK,building_a
SENSOR-004,2024-01-01T05:00:00,34.66,82.35,1002.23,OK,outdoor
SENSOR-007,2024-01-01T06:00:00,22.93,89.42,1005.77,OK,building_a
SENSOR-010,2024-01-01T07:00:00,17.71,49.41,982.5,OK,building_b
SENSOR-001,2024-01-01T08:00:00,19.44,53.61,995.08,OK,outdoor
SENSOR-004,2024-01-01T09:00:00,22.81,51.11,981.2,OK,building_a
SENSOR-007,2024-01-01T10:00:00,20.3,34.54,1007.24,WARNING,building_b
SENSOR-005,2024-01-01T11:00:00,23.66,84.35,1018.64,OK,building_b
SENSOR-002,2024-01-01T12:00:00,23.2,58.64,999.0,OK,building_a
SENSOR-005,2024-01-01T13:00:00,30.17,40.09,991.47,OK,building_a
SENSOR-006,2024-01-01T14:00:00,30.56,40.86,990.49,OK,outdoor
SENSOR-009,2024-01-01T15:00:00,29.88,51.44,1005.36,OK,building_a
SENSOR-006,2024-01-01T16:00:00,32.41,41.9,994.59,OK,outdoor
SENSOR-009,2024-01-01T17:00:00,27.67,61.32,1011.66,WARNING,building_b
SENSOR-003,2024-01-01T18:00:00,17.18,87.33,983.93,OK,building_b
SENSOR-008,2024-01-01T19:00:00,26.58,74.18,1020.7,OK,outdoor
SENSOR-007,2024-01-01T20:00:00,26.66,79.65,998.2,OK,outdoor
SENSOR-009,2024-01-01T21:00:00,21.92,70.0,992.25,OK,building_b
SENSOR-001,2024-01-01T22:00:00,21.42,36.5,983.65,OK,outdoor
SENSOR-008,2024-01-01T23:00:00,31.19,84.59,1026.86,OK,building_b
SENSOR-006,2024-01-02T00:00:00,15.7,86.45,998.39,OK,building_b
SENSOR-009,2024-01-02T01:00:00,34.57,65.09,1005.5,OK,building_a
SENSOR-004,2024-01-02T02:00:00,34.12,34.21,1012.99,OK,building_b
SENSOR-005,2024-01-02T03:00:00,23.23,89.85,1008.31,WARNING,building_b
SENSOR-005,2024-01-02T04:00:00,21.12,83.16,1004.56,OK,building_b
SENSOR-007,2024-01-02T05:00:00,16.77,56.47,990.58,WARNING,building_b
SENSOR-006,2024-01-02T06:00:00,16.82,72.57,984.46,OK,building_a
SENSOR-005,2024-01-02T07:00:00,33.58,52.81,986.16,OK,building_a
SENSOR-008,2024-01-02T08:00:00,27.33,61.77,1011.7,OK,building_b
SENSOR-010,2024-01-02T09:00:00,23.48,64.39,1011.42,WARNING,building_a
SENSOR-010,2024-01-02T10:00:00,26.51,40.28,1019.5,OK,outdoor
SENSOR-008,2024-01-02T11:00:00,24.94,41.89,1020.22,OK,building_a
SENSOR-002,2024-01-02T12:00:00,15.39,31.18,1000.01,OK,building_a
SENSOR-010,2024-01-02T13:00:00,32.99,46.18,1016.89,OK,building_a
SENSOR-010,2024-01-02T14:00:00,15.73,51.78,1009.23,OK,building_b
SENSOR-008,2024-01-02T15:00:00,35.04,31.63,993.36,OK,building_b
SENSOR-008,2024-01-02T16:00:00,28.83,67.95,989.71,OK,building_a
SENSOR-003,2024-01-02T17:00:00,20.02,35.33,986.48,OK,building_b
SENSOR-006,2024-01-02T18:00:00,29.51,89.04,998.33,OK,building_a
SENSOR-008,2024-01-02T19:00:00,28.51,31.99,1026.44,OK,outdoor
SENSOR-001,2024-01-02T20:00:00,34.99,56.17,1004.18,OK,outdoor
SENSOR-009,2024-01-02T21:00:00,28.84,58.36,996.24,OK,building_a
SENSOR-005,2024-01-02T22:00:00,34.39,58.16,1024.91,OK,building_b
SENSOR-005,2024-01-02T23:00:00,24.79,42.82,1029.13,OK,building_b
SENSOR-001,2024-01-03T00:00:00,15.93,72.72,1001.58,OK,building_b
SENSOR-010,2024-01-03T01:00:00,35.35,85.85,984.8,OK,building_a
SENSOR-004,2024-01-03T02:00:00,33.33,56.02,980.58,OK,building_b
SENSOR-002,2024-01-03T03:00:00,25.33,82.67,1027.13,OK,building_b
SENSOR-005,2024-01-03T04:00:00,28.85,30.51,1013.1,OK,outdoor
SENSOR-010,2024-01-03T05:00:00,24.51,82.91,1012.92,OK,building_a
SENSOR-003,2024-01-03T06:00:00,22.45,53.67,1001.25,OK,building_a
SENSOR-009,2024-01-03T07:00:00,31.09,79.98,1000.25,OK,building_b
SENSOR-006,2024-01-03T08:00:00,28.22,34.32,1003.53,OK,outdoor
SENSOR-008,2024-01-03T09:00:00,24.2,40.67,990.36,WARNING,building_b
SENSOR-001,2024-01-03T10:00:00,33.52,42.02,1014.41,OK,building_a
SENSOR-008,2024-01-03T11:00:00,29.21,54.61,1000.84,OK,outdoor
SENSOR-003,2024-01-03T12:00:00,20.6,79.39,1024.21,OK,building_a
SENSOR-003,2024-01-03T13:00:00,24.02,35.64,987.78,OK,building_b
SENSOR-009,2024-01-03T14:00:00,30.23,50.63,992.55,OK,building_a
SENSOR-003,2024-01-03T15:00:00,35.15,83.62,980.79,OK,outdoor
SENSOR-010,2024-01-03T16:00:00,17.37,45.97,1009.12,OK,building_b
SENSOR-004,2024-01-03T17:00:00,23.14,32.82,1008.38,OK,building_a
SENSOR-003,2024-01-03T18:00:00,35.42,78.79,1008.78,OK,building_a
SENSOR-004,2024-01-03T19:00:00,22.39,71.68,1001.93,OK,building_b
SENSOR-004,2024-01-03T20:00:00,29.86,77.25,989.87,OK,building_b
SENSOR-002,2024-01-03T21:00:00,17.05,72.7,1018.91,OK,outdoor
SENSOR-009,2024-01-03T22:00:00,33.67,74.47,1019.86,WARNING,building_b
SENSOR-010,2024-01-03T23:00:00,32.9,81.88,1005.94,OK,building_a
SENSOR-010,2024-01-04T00:00:00,35.12,81.24,999.29,OK,building_a
SENSOR-001,2024-01-04T01:00:00,21.53,62.57,1003.31,OK,building_b
SENSOR-004,2024-01-04T02:00:00,16.6,83.15,1003.44,OK,outdoor
SENSOR-006,2024-01-04T03:00:00,19.06,62.81,1021.81,OK,building_b
SENSOR-010,2024-01-04T04:00:00,32.36,79.26,1020.79,OK,outdoor
SENSOR-005,2024-01-04T05:00:00,32.85,86.26,1019.22,OK,building_b
SENSOR-010,2024-01-04T06:00:00,17.55,53.1,994.41,OK,building_a
SENSOR-004,2024-01-04T07:00:00,31.86,86.25,994.55,WARNING,building_b
SENSOR-001,2024-01-04T08:00:00,24.86,36.03,983.24,OK,building_b
SENSOR-003,2024-01-04T09:00:00,21.94,76.36,1022.84,WARNING,building_a
SENSOR-008,2024-01-04T10:00:00,21.45,67.32,1008.71,OK,outdoor
SENSOR-001,2024-01-04T11:00:00,34.94,44.21,983.37,OK,building_a
SENSOR-001,2024-01-04T12:00:00,27.73,45.78,1010.59,OK,outdoor
SENSOR-003,2024-01-04T13:00:00,34.54,54.5,1011.91,OK,outdoor
SENSOR-001,2024-01-04T14:00:00,34.71,34.38,990.59,OK,outdoor
SENSOR-001,2024-01-04T15:00:00,25.51,43.27,1026.78,OK,outdoor
SENSOR-007,2024-01-04T16:00:00,29.05,55.63,990.48,OK,building_b
SENSOR-003,2024-01-04T17:00:00,22.85,30.43,984.04,OK,outdoor
SENSOR-009,2024-01-04T18:00:00,33.88,58.73,983.86,OK,building_a
SENSOR-001,2024-01-04T19:00:00,26.04,89.59,1029.65,OK,outdoor
SENSOR-007,2024-01-04T20:00:00,31.23,60.4,990.36,OK,building_a
SENSOR-008,2024-01-04T21:00:00,20.89,60.08,995.12,OK,outdoor
SENSOR-008,2024-01-04T22:00:00,24.83,51.71,1018.13,OK,building_a
SENSOR-008,2024-01-04T23:00:00,18.86,88.22,1029.19,OK,outdoor
SENSOR-009,2024-01-05T00:00:00,17.79,65.5,1024.93,WARNING,outdoor
SENSOR-007,2024-01-05T01:00:00,29.92,43.64,1005.35,OK,building_b
SENSOR-006,2024-01-05T02:00:00,23.48,84.47,1027.66,OK,building_b
SENSOR-001,2024-01-05T03:00:00,16.61,80.37,1009.24,OK,building_b
